iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
86,5,1,17,20,2504,[18_21];[16_18];[17_21];[20_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[17_20];[17_20];[17_21]
86,6,2,16,19,893,[17_22];[19_20];[19_21];[16_20];[20_21];[18_21];[17_21],[0;2;6;7;8;9],[17_21];[16_20];[16_20]
86,7,2,10,24,938,[11_22];[9_23];[10_22];[10_24];[10_23],[0;2;6;7;8;9],[9_23];[10_24];[10_24]
86,8,2,18,12,1726,[19_12];[19_10];[18_11];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[19_13];[18_11];[18_12]
86,9,2,2,19,2279,[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_17];[2_17];[2_19]
87,0,2,6,3,1557,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_3];[6_3];[6_2]
87,1,1,19,0,1355,[17_1];[16_2];[19_1];[17_0];[17_2];[18_1],[1;3;4;5],[18_1];[18_1];[19_1]
87,2,2,20,9,2548,[20_9];[21_11];[22_9];[22_10];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_9];[20_9];[20_9]
87,3,1,24,22,2383,[21_24];[24_24];[21_22];[23_22];[22_23];[21_23];[24_22];[22_22];[23_23],[1;3;4;5],[23_22];[24_22];[23_22]
87,4,1,5,23,2242,[3_23];[4_24];[3_24];[5_23];[3_22];[2_22];[2_24];[4_23],[1;3;4;5],[3_23];[3_23];[5_23]
87,5,1,17,21,2505,[18_21];[16_18];[17_21];[20_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[17_20];[17_21];[17_20]
87,6,2,16,18,894,[17_22];[19_20];[19_21];[16_20];[20_21];[18_21];[17_21];[16_19],[0;2;6;7;8;9],[16_20];[16_20];[16_19]
87,7,2,11,24,939,[11_22];[9_23];[10_22];[10_24];[11_24];[10_23],[0;2;6;7;8;9],[10_24];[10_24];[11_24]
87,8,2,19,12,1727,[19_12];[19_10];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[18_11];[18_12];[19_12]
87,9,2,2,18,2280,[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_17];[2_19];[2_19]
88,0,2,6,2,1558,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_3];[6_2];[6_3]
88,1,1,19,0,1356,[17_1];[16_2];[19_1];[17_0];[17_2];[19_0];[18_1],[1;3;4;5],[18_1];[19_1];[19_0]
88,2,2,20,9,2549,[20_9];[21_11];[22_10];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_9];[20_9];[20_9]
88,3,1,24,21,2384,[21_24];[21_22];[23_22];[22_23];[21_23];[24_22];[24_21];[22_22];[23_23],[1;3;4;5],[24_22];[24_21]
88,4,1,4,23,2243,[3_23];[4_24];[3_24];[5_23];[3_22];[2_22];[2_24];[4_23],[1;3;4;5],[3_23];[5_23];[5_23]
88,5,1,17,20,2506,[18_21];[16_18];[17_21];[20_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[17_21];[17_21]
88,6,2,16,19,895,[17_22];[19_20];[19_21];[16_20];[16_18];[20_21];[18_21];[17_21];[16_19],[0;2;6;7;8;9],[16_20];[16_19];[16_18]
88,7,2,12,24,940,[11_22];[9_23];[10_22];[10_24];[11_24];[10_23],[0;2;6;7;8;9],[10_24];[11_24];[11_24]
88,8,2,18,12,1728,[19_12];[19_10];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[18_12];[19_12];[18_12]
88,9,2,2,17,2281,[2_18];[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_19];[2_19];[2_18]
89,0,2,6,3,1559,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_2];[6_2]
89,1,1,19,0,1357,[17_1];[16_2];[19_1];[17_0];[17_2];[19_0];[18_1],[1;3;4;5],[19_1];[19_0];[19_0]
89,2,2,20,10,2550,[20_9];[20_10];[21_11];[22_10];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_10]
89,3,1,24,22,2385,[21_24];[21_22];[23_22];[22_23];[21_23];[24_22];[24_21];[22_22];[23_23],[1;3;4;5],[24_22];[24_21];[24_21]
89,4,1,3,23,2244,[3_23];[4_24];[3_24];[5_23];[3_22];[2_22];[4_23],[1;3;4;5],[5_23];[5_23];[4_23]
89,5,1,18,21,2507,[16_18];[17_21];[20_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[17_21];[17_20];[18_21]
89,6,2,16,18,896,[17_22];[19_20];[19_21];[16_20];[16_18];[20_21];[18_21];[17_21];[16_19],[0;2;6;7;8;9],[16_19];[16_18];[16_19]
