iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
50,5,1,9,6,1797,[7_5];[8_5];[7_4];[6_5];[9_6];[8_7];[8_4],[1;5;6;8],[9_6]
50,6,1,24,20,839,[23_19];[24_19];[23_18];[24_20];[24_18];[23_21];[23_20],[1;5;6;8],[24_18];[24_19];[24_20]
50,7,2,22,8,1505,[21_8];[22_7];[22_8];[23_7];[22_9],[0;2;3;4;7;9],[21_8];[21_8];[21_8]
50,8,1,17,19,1734,[17_18];[16_18];[17_19];[17_20],[1;5;6;8],[16_18];[16_18];[17_19]
50,9,2,8,13,1288,[7_15];[9_14];[7_14];[8_15];[8_13];[10_13];[10_14];[7_13];[10_12];[7_16],[0;2;3;4;7;9],[7_13];[7_14];[8_13]
51,0,2,10,11,1751,[10_10];[8_10];[9_11];[9_12];[10_12];[10_11],[0;2;3;4;7;9],[9_11];[9_10];[10_11]
51,1,1,12,14,1912,[11_14];[11_15];[11_13];[12_14];[12_16];[13_17];[13_16];[12_15];[12_13],[1;5;6;8],[12_13];[11_13];[12_14]
51,2,2,1,6,1862,[0_8];[1_7];[1_8];[0_6];[1_6],[0;2;3;4;7;9],[1_8];[1_8];[1_6]
51,3,2,24,5,1791,[21_3];[24_7];[22_3];[23_6];[24_4];[24_5];[24_6],[0;2;3;4;7;9],[24_5];[24_5];[24_5]
51,4,2,5,19,1127,[5_17];[4_19];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_17];[5_17];[5_18]
51,5,1,9,7,1798,[7_5];[8_5];[7_4];[6_5];[9_6];[8_7];[8_4],[1;5;6;8],[9_6];[9_6]
51,6,1,24,19,840,[23_19];[24_19];[23_18];[24_20];[24_18];[23_21];[23_20],[1;5;6;8],[24_19];[24_20];[24_20]
51,7,2,22,7,1506,[21_8];[22_7];[22_8];[23_7];[22_9],[0;2;3;4;7;9],[22_8]
51,8,1,17,18,1735,[17_18];[16_18];[17_19];[17_20],[1;5;6;8],[16_18];[17_19];[17_19]
51,9,2,8,14,1289,[7_15];[9_14];[7_14];[8_15];[8_13];[10_14];[7_13];[10_12];[7_16],[0;2;3;4;7;9],[7_14];[8_13];[8_13]
52,0,2,9,11,1752,[10_10];[8_10];[9_11];[9_12];[10_12];[10_11],[0;2;3;4;7;9],[9_11];[10_11];[10_11]
52,1,1,12,15,1913,[11_14];[11_15];[11_13];[12_14];[12_16];[13_17];[13_16];[12_15];[12_13],[1;5;6;8],[11_13];[12_14];[12_15]
52,2,2,3,6,1863,[0_8];[1_7];[1_8];[0_6];[3_6];[1_6],[0;2;3;4;7;9],[1_6];[1_6];[3_6]
52,3,2,24,6,1792,[21_3];[24_7];[22_3];[23_6];[24_4];[24_5];[24_6],[0;2;3;4;7;9],[24_5];[24_5];[24_5]
52,4,2,5,18,1128,[5_17];[4_19];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_17];[5_18];[5_19]
52,5,1,9,8,1799,[7_5];[8_5];[7_4];[6_5];[9_6];[8_7];[9_7];[8_4],[1;5;6;8],[9_6];[9_6];[9_7]
52,6,1,24,18,841,[23_19];[24_19];[23_18];[24_20];[24_18];[23_20],[1;5;6;8],[24_20];[24_20];[24_18]
52,7,2,22,8,1507,[21_8];[22_7];[22_8];[23_7];[22_9],[0;2;3;4;7;9],[22_8];[22_7]
52,8,1,17,19,1736,[17_18];[16_18];[17_19],[1;5;6;8],[17_19];[17_19];[17_18]
52,9,2,9,14,1290,[7_15];[9_14];[7_14];[8_15];[8_13];[10_14];[7_13];[7_16],[0;2;3;4;7;9],[8_13];[8_13];[9_14]
53,0,2,9,10,1753,[10_10];[8_10];[9_11];[9_12];[10_12];[10_11],[0;2;3;4;7;9],[10_11];[10_11];[9_11]
