iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
64,9,2,9,14,1302,[9_14];[8_14];[8_15];[8_13];[9_15];[7_13];[7_16],[0;2;3;4;7;9],[9_15];[8_14];[8_14]
65,0,2,10,7,1765,[9_8];[8_10];[9_11];[10_7];[9_9];[9_10];[8_11];[10_10],[0;2;3;4;7;9],[9_8];[9_8];[10_7]
65,1,1,8,14,1926,[11_14];[8_14];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[9_14]
65,2,2,1,5,1876,[1_8];[3_6];[4_5];[1_6];[3_5];[1_4];[1_5];[2_5];[2_4],[0;2;3;4;7;9],[2_5];[1_4];[1_5]
65,3,2,24,4,1805,[24_7];[23_5];[23_6];[24_4];[24_5];[24_6],[0;2;3;4;7;9],[24_5];[24_4]
65,4,2,5,17,1141,[5_17];[6_19];[5_19];[4_19];[5_18];[5_20],[0;2;3;4;7;9],[4_19];[5_19];[5_17]
65,5,1,10,4,1812,[8_5];[7_6];[10_5];[9_6];[10_4];[9_8];[9_7];[9_5];[11_4],[1;5;6;8],[10_5];[11_4];[10_4]
65,6,1,23,19,854,[24_18];[24_19];[23_19],[1;5;6;8],[24_19]
65,7,2,22,10,1520,[22_10];[21_8];[20_11];[21_10];[21_9];[20_10];[23_7];[21_11],[0;2;3;4;7;9],[21_10];[21_11];[22_10]
65,8,1,17,16,1749,[17_17];[16_18];[18_17];[17_16];[18_18],[1;5;6;8],[18_17];[18_17];[17_16]
65,9,2,8,14,1303,[9_14];[8_14];[8_15];[8_13];[9_15];[7_13];[7_16],[0;2;3;4;7;9],[8_14];[8_14];[9_14]
66,0,2,11,7,1766,[9_8];[8_10];[9_11];[10_7];[11_7];[9_9];[9_10];[8_11],[0;2;3;4;7;9],[9_8];[10_7];[11_7]
66,1,1,9,14,1927,[11_14];[8_14];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[9_14];[8_14]
